Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
71,0.118,0.123,0.121,0.022,0.205,0.013,1.022,1.0,-0.019,-0.011,0.008,0.439,0.004,0.424,-0.502,-0.869,0.189,0.1853932584269663,0.0,1.0617977528089888,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
72,-0.078,0.008,0.161,-0.003,0.22,0.012,1.03,1.0,0.001,-0.005,0.005,0.454,-0.017,0.27,1.073,0.373,-0.131,0.20224719101123595,0.0,1.0674157303370786,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
73,-0.158,-0.07,0.196,-0.009,0.233,0.012,1.033,1.0,0.018,0.008,0.002,0.455,-0.014,0.101,1.139,0.691,-0.16,0.2191011235955056,0.0,1.0730337078651686,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
74,-0.156,-0.152,0.229,-0.019,0.25,0.012,1.029,0.999,0.029,0.024,-0.003,0.464,-0.004,-0.097,0.591,0.77,-0.191,0.23595505617977527,0.0,1.0786516853932584,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
75,0.07,-0.036,0.287,-0.004,0.264,0.012,1.021,1.0,0.01,0.017,-0.001,0.476,0.024,-0.249,-1.037,-0.481,0.015,0.25280898876404495,0.0,1.0842696629213484,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
76,0.194,0.077,0.313,0.016,0.279,0.013,1.011,1.0,-0.011,0.005,0.003,0.454,0.02,-0.303,-1.187,-0.766,0.195,0.2696629213483146,0.0,1.0898876404494382,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
77,0.196,0.179,0.291,0.012,0.293,0.014,1.001,1.0,-0.024,-0.012,0.006,0.447,0.021,-0.313,-0.678,-0.921,0.097,0.28651685393258425,0.0,1.095505617977528,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
78,-0.102,0.005,0.327,-0.009,0.308,0.014,0.993,1.0,0.002,-0.004,0.004,0.483,0.007,-0.227,1.389,0.447,-0.184,0.3033707865168539,0.0,1.101123595505618,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
79,-0.199,-0.122,0.3,-0.016,0.322,0.014,0.992,1.0,0.022,0.008,0.001,0.488,0.012,-0.082,1.462,0.906,-0.225,0.3202247191011236,0.0,1.1067415730337078,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
80,-0.195,-0.196,0.23,-0.018,0.341,0.014,0.995,0.999,0.039,0.028,-0.002,0.503,0.005,0.105,0.718,0.866,-0.176,0.33707865168539325,0.0,1.1123595505617978,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
