Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
75,0.044,0.015,-0.559,0.004,0.125,0.044,0.726,1.0,0.005,-0.02,-0.005,0.006,0.017,-0.01,-0.385,-0.061,0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.028,-0.05,-0.563,-0.003,0.125,0.045,0.726,1.0,0.003,-0.013,-0.006,0.01,0.018,-0.005,-0.153,0.411,-0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-0.019,-0.042,-0.568,-0.002,0.126,0.046,0.725,1.0,0.006,-0.009,-0.006,0.01,0.016,0.0,0.258,0.22,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-0.038,0.03,-0.561,-0.003,0.125,0.046,0.725,1.0,0.011,-0.015,-0.007,-0.003,0.018,-0.015,0.32,-0.329,-0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-0.011,0.03,-0.557,-0.006,0.125,0.047,0.724,1.0,0.012,-0.022,-0.008,-0.006,0.023,-0.017,0.027,-0.126,-0.054,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.019,0.025,-0.554,-0.003,0.125,0.048,0.724,1.0,0.008,-0.023,-0.008,-0.001,0.022,-0.025,-0.176,-0.057,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.019,-0.024,-0.552,0.003,0.125,0.048,0.722,1.0,0.005,-0.017,-0.006,0.001,0.02,-0.027,-0.098,0.29,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.002,0.007,-0.555,-0.004,0.125,0.049,0.722,1.0,0.007,-0.018,-0.007,-0.009,0.023,-0.027,0.042,0.019,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-0.01,0.024,-0.557,-0.004,0.125,0.05,0.721,1.0,0.009,-0.017,-0.007,-0.008,0.022,-0.015,0.114,-0.187,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.02,0.017,-0.561,0.002,0.124,0.05,0.721,1.0,0.007,-0.018,-0.006,-0.007,0.018,0.001,-0.165,-0.094,0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.003,-0.026,-0.56,0.006,0.124,0.051,0.721,1.0,0.01,-0.013,-0.005,0.001,0.029,-0.003,-0.029,0.193,0.132,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
