Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
68,-0.014,-0.003,-0.454,0.001,0.116,0.058,0.544,1.0,0.01,-0.019,-0.004,0.051,0.026,-0.02,0.151,0.01,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.003,-0.01,-0.459,0.003,0.117,0.06,0.544,1.0,0.012,-0.017,-0.004,0.051,0.028,-0.003,-0.071,0.011,0.076,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.003,-0.009,-0.456,-0.001,0.119,0.061,0.543,1.0,0.01,-0.017,-0.003,0.039,0.03,-0.013,-0.005,0.038,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.027,-0.459,-0.0,0.12,0.061,0.543,1.0,0.01,-0.021,-0.004,0.033,0.027,-0.003,0.013,-0.196,0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.017,-0.006,-0.463,0.006,0.122,0.062,0.544,1.0,0.009,-0.022,-0.003,0.047,0.021,0.014,-0.138,0.112,0.117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-0.02,-0.035,-0.464,-0.003,0.123,0.063,0.544,1.0,0.013,-0.016,-0.004,0.039,0.012,0.014,0.086,0.255,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-0.031,0.1,-0.454,-0.018,0.124,0.063,0.544,1.0,0.014,-0.025,-0.007,0.032,0.028,-0.017,0.229,-1.074,-0.266,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-0.017,-0.032,-0.461,-0.005,0.125,0.063,0.544,1.0,0.014,-0.018,-0.005,0.037,0.008,0.02,0.021,0.279,-0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.019,0.033,-0.465,-0.001,0.126,0.064,0.545,1.0,0.01,-0.023,-0.005,0.033,0.011,0.014,-0.222,-0.223,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.016,-0.045,-0.456,0.002,0.127,0.064,0.544,1.0,0.009,-0.012,-0.004,0.031,0.015,-0.006,-0.149,0.259,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.009,-0.025,-0.469,0.004,0.128,0.065,0.545,1.0,0.009,-0.013,-0.003,0.037,0.008,0.011,-0.092,0.057,0.077,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-0.007,-0.058,-0.463,-0.001,0.129,0.065,0.544,1.0,0.008,-0.008,-0.003,0.038,0.01,-0.004,0.103,0.246,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-0.039,-0.015,-0.468,-0.011,0.13,0.065,0.544,1.0,0.012,-0.012,-0.005,0.04,-0.006,0.004,0.259,-0.095,-0.149,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-0.028,0.037,-0.455,-0.005,0.131,0.065,0.544,1.0,0.014,-0.02,-0.007,0.023,-0.0,-0.022,0.109,-0.336,-0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.008,0.075,-0.449,0.004,0.132,0.065,0.543,1.0,0.011,-0.028,-0.006,0.01,-0.003,-0.033,-0.183,-0.439,0.091,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.029,-0.026,-0.445,0.007,0.132,0.065,0.542,1.0,0.006,-0.022,-0.003,0.02,-0.003,-0.032,-0.256,0.386,0.129,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
