step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761631629.9838836,0.0,0.0,0.5999999999690592,-3.3537706908369425e-11,0.0,0.0,0.2999999999845293,-1.1800140280299305e-10,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0015,0.0011,0.0024,0.0
0,1761631630.0177815,0.0,0.0,0.5999999999690592,-3.09059980259696e-11,0.0,0.0,0.2999999999845299,9.548235369813534e-12,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0013,0.0013,0.0028,0.0
0,1761631630.0527787,0.0,0.0,0.5999999999690592,-2.2931377185938006e-11,0.0,0.0,0.29999999998453,6.429320938733112e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0027,0.0014,0.0029,0.0
0,1761631630.0927565,0.0,0.0,0.5999999999690592,-1.4330561825651937e-11,0.0,0.0,0.2999999999845287,7.454246500989171e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0063,0.0024,0.0047,0.0
0,1761631630.1235929,0.0,0.0,0.5999999999690592,-7.343512683188004e-12,0.0,0.0,0.2999999999845285,6.27052105118133e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0043,0.0022,0.0047,0.0
0,1761631630.1530952,0.0,0.0,0.5999999999690592,-2.6133808163394533e-12,0.0,0.0,0.29999999998452875,4.362956232689151e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0017,0.002,0.0039,0.0
0,1761631630.186218,0.0,0.0,0.5999999999690592,6.98919879878998e-14,0.0,0.0,0.29999999998452864,2.5526037635103815e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0014,0.0011,0.0048,0.0
0,1761631630.2181778,0.0,0.0,0.5999999999690592,1.2503911110412926e-12,0.0,0.0,0.29999999998452875,1.1839937224527875e-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0015,0.0012,0.0032,0.0
0,1761631630.2505858,0.0,0.0,0.5999999999690592,1.5013335969730599e-12,0.0,0.0,0.2999999999845286,3.134620414838321e-12,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0014,0.0011,0.0026,0.0
0,1761631630.2843723,0.0,0.0,0.5999999999690592,1.2827629992904343e-12,0.0,0.0,0.29999999998452864,-1.4350391783397238e-12,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0016,0.0011,0.0029,0.0
